57_166060_0001|איראן'ס פרעזידענט פעזעשקיאן האט היינט ווידער געמאלדן אז איראן איז גרייט מיטצוארבעטן מיט אמעריקע אין פאל אמעריקע קערט זיך צוריק צו די פארשטענדעניש אפמאך דערגרייכט פריער אין די יאר.|ˈirans prəzidˈɛnt fˈɛzəʃkian hut haːnt vˈidər ɡəmˈaldn az irˈan iz ɡrajt mˈitʦiarbətn mit amˈɛrikə in fal amˈɛrikə kɛrt zix ʦirˈik ʦi də farʃtˈɛndəniʃ ˈupmax dərɡrˈajxt frˈiər in də jur.
57_166060_0002|פעזעשקיאן זאגט אז ער וויל זאגן זייער קלאר און אפן אז אויב אמעריקע קומט נאך אירע פארפליכטונגען אונטער יענע אפמאך, וועט איראן גלייך רעאגירן אויף די זעלבע וועג.|fˈɛzəʃkian zuɡt az ɛr vil zuɡn zˈajər klur in afn az ɔjb amˈɛrikə kimt nux ˈirə farflˈixtinɡən ˈintər jˈɛnə ˈupmax, vɛt irˈan ɡlaːx rˈɛaɡirn oʊf də zˈɛlbə vejɡ.
57_166078_0001|די אמעריקאנער מיליטער האט אונטערגענומען א פרישע רונדע באמבארדירונגען קעגן איראן, א טאג נאכדעם וואס פרעזידענט טראמפ האט געווארנט אז ס'גייען קומען אטאקעס. לויט ווי די פרעסע אין איראן באריכטעט,|də amərˈikanər mˈilitər hut ˈintərɡənimən a frˈiʃə rˈində bambˈardirinɡən kejɡn irˈan, a tuɡ nuxdˈejm vus prəzidˈɛnt trɔmp hut ɡəvˈarnt az sɡˈajən kˈimən ˈatakəs. loʊt vi də prˈɛsə in irˈan barˈixtət,
57_166078_0002|זענען געהערט געווארן אויפרייסן ביי עטליכע פלעצער, אריינגערעכנט די פארט שטעט באנדאר אבאס און סיריק, און ביי די קאשים אינזל.|zˈɛnən ɡəhˈirt ɡəvˈɔrn ˈɔjfrajsn baː ˈɛtləxə plˈɛʦər, arˈaːnɡərəxnt də fɔrt ʃtɛt bandˈar ˈabəs in sˈirik, in baː də kˈaʃim inzl.
57_166078_0005|און קעגן אמעריקאנער טרופן אין די ראיאן.|in kejɡn amərˈikanər trifn in də rˈaːan.
57_166079_0003|זיי זאגן אז זיי זענען געווען אנטוישט אז ביים עפענונג פון די סאמיט, האט סילוואנאוו זיך דארט געפונען, די ערשטע מאל וואס ער קומט פערזענליך מיטהאלטן אזא סאמיט זייט די אנפאנג פון די מלחמה.|zaj zuɡn az zaj zˈɛnən ɡəvˈejn ˈantɔjʃt az bam ˈɛfəninɡ fin də sˈamit, hut sˈilvanav zix dɔrt ɡəfˈinən, də ˈɛrʃtə mul vus ɛr kimt fˈɛrzənləx mˈithaltn azˈa sˈamit zaːt də ˈanfanɡ fin də milxˈumə.
57_166079_0005|רוסישע באאמטע זאגן אז די צוויי האבן ארומגערעדט איבער פינאנציעלע פריינטשאפט צווישן די צוויי לענדער, אבער א קוואל נאנט צו בעסענט זאגט אז בעסענט האט קלאר געמאכט אז אמעריקע קען נישט נאכלאזן פון קיין שום סאנקציעס ביז ווילאנג די מלחמה קומט נישט צו קיין ענדע.|rˈisiʃə baˈamtə zuɡn az də ʦvaj hubn arˈimɡərədt ˈibər fˈinanʦiələ frˈajnʧaft ʦviʃn də ʦvaj lˈɛndər, ˈɔbər a kval nant ʦi bəsˈɛnt zuɡt az bəsˈɛnt hut klur ɡəmˈaxt az amˈɛrikə kɛn niʃt nˈaxlazn fin kan ʃim sˈankʦiəs biz vˈilanɡ də milxˈumə kimt niʃt ʦi kan ˈɛndə.
57_166080_0001|ווי פאטעל זאגט, איז די זיצונג געווען געווידמעט אויף געמיינזאמע ארבעט וואס קומט פאר צווישן אמעריקע און מדינת ישראל, איבערהויפט אין די פעלד פון קאנטער-טעראריזם און שפיאנאזש.|vi fˈatəl zuɡt, iz də zˈiʦinɡ ɡəvˈejn ɡəvˈidmət oʊf ɡəmˈajnzamə ˈarbət vus kimt far ʦviʃn amˈɛrikə in mdˈinas jisrˈuəl, ˈibərhɔjft in də fɛld fin kˈantər tərarˈizm in ʃpˈianaʒ.
57_166080_0002|זוני געפינט זיך אין אמעריקע פאר די ערשטע באזוך זייט ער איז געווארן אויפגענומען אלס די שב"כ הויפט פאר נאנט צו א יאר צוריק, און האט אין פלאן אפצוהאלטן זיצונגען מיט א צאל אמעריקאנער באאמטע.|zˈini ɡəfˈint zix in amˈɛrikə far də ˈɛrʃtə bazˈix zaːt ɛr iz ɡəvˈɔrn ˈoʊfɡənimən ˈalis də ʃin bajs xuf hɔjft far nant ʦi a jur ʦirˈik, in hut in plaːn ˈafʦihaltn zˈiʦinɡən mit a ʦal amərˈikanər baˈamtə.
57_166081_0001|אמעריקאנער זיכערהייט קוועלער געבן איבער אז טייל פון די יעצטיגע פרישע רונדע באמבארדירונגען אויף איראן האט אריינגענומען אטאקעס אויף טאנקערס פון איראן'ס סטעיט אנגעפירטע אויל קאמפאני, א זאך וואס אמעריקע האט נישט געטון ביז היינט.|amərˈikanər zˈixərhaːt kvˈɛlər ɡejbn ˈibər az tajl fin də jˈɛʦtiɡə frˈiʃə rˈində bambˈardirinɡən oʊf irˈan hut arˈaːnɡənimən ˈatakəs oʊf tˈankərs fin ˈirans stajt ˈanɡəfirtə ɔjl kˈamfani, a zax vus amˈɛrikə hut niʃt ɡətˈin biz haːnt.
